iso3c,Country,region,year,population,Total motor vehicles,EV_adoption,grid_g_per_kwh,ev_g_per_km,co2_total_mt,co2_transport_mt,delta_adoption,annual_km_total,km_shifted,avoided_Mt
BGR,Bulgaria,,2023,6446596.000000005,3385000,0.02,1093.4490559747005,196.82083007544608,39.79259999999999,9.4078,0.48,40620000000.0,19497600000.0,0.0
BEL,Belgium,,2023,11787423.000000002,6820000,1.54,237.57885999779418,42.764194799602954,84.30610000000001,21.9509,0.0,81840000000.0,0.0,0.0
FIN,Finland,,2023,5583911.000000003,3191000,1.75,615.8410327718808,110.85138589893855,32.2689,8.9587,0.0,38292000000.0,0.0,0.0
FRA,France,,2023,68287487.00000003,45421000,0.97,587.8669710341209,105.81605478614175,282.4275,122.2146,0.0,545052000000.0,0.0,0.0
EST,Estonia,,2021,1330932.000000001,14664172,0.0,1158.9848001110495,208.6172640199889,12.309500000000002,2.3784,0.5,175970064000.0,87985032000.0,0.0
HKG,"Hong Kong SAR, China",,2021,7413099.999999998,50952500,0.0,1039.8437710801115,187.17187879442008,35.0751,6.9097,0.5,611430000000.0,305715000000.0,0.0
KOR,"Korea, Rep.",,2023,51712619.00000003,23730000,0.61,436.9844295093213,78.65719731167782,573.5357000000001,106.1251,0.0,284760000000.0,0.0,0.0
GBR,United Kingdom,,2023,68492000.00000001,42403000,0.97,777.6721779966031,139.98099203938855,302.10330000000005,108.4809,0.0,508836000000.0,0.0,0.0
DEU,Germany,,2023,83901922.99999994,52275000,1.17,947.6896440378226,170.58413592680807,582.9506,139.7212,0.0,627300000000.0,0.0,0.0
SGP,Singapore,,2021,5453565.999999997,50952500,0.0,1144.8592779847434,206.0746700372538,55.6895,6.1442,0.5,611430000000.0,305715000000.0,0.0
NLD,Netherlands,,2023,17877116.999999996,10248000,2.83,287.71669465646266,51.789005038163275,122.87210000000005,25.4901,0.0,122976000000.0,0.0,0.0
SWE,Sweden,,2023,10536631.999999989,5637000,3.12,500.5850995335376,90.10531791603675,35.392199999999995,13.3122,0.0,67644000000.0,0.0,0.0
USA,United States,,2023,336806230.9999996,289037000,0.6,870.9825139493079,156.77685251087541,4682.039399999996,1710.6454,0.0,3468444000000.0,0.0,0.0
AUS,Australia,,2023,26652776.999999996,18924000,0.14,,,373.6164,95.6792,0.36,227088000000.0,81751680000.0,
AUT,Austria,,2023,9131761.000000004,5633000,1.07,,,58.8151,21.1419,0.0,67596000000.0,0.0,
