model,metrics
Logit,"{'accuracy': 0.6725490196078432, 'precision': 0.36530033513792215, 'recall': 0.6174291938997821, 'f1': 0.4590217039196631, 'roc_auc': 0.7068588728625191, 'pr_auc': 0.3907063833725789}"
XGBoost,"{'accuracy': 0.856078431372549, 'precision': 0.7091552857865453, 'recall': 0.6108932461873638, 'f1': 0.6563670411985019, 'roc_auc': 0.8856686496370986, 'pr_auc': 0.7148448380600451}"
