country,region,Total motor vehicles,Electric cars in use,EV_adoption
San Marino,ECS,14664172,575,0
Sao Tome and Principe,SSF,10971500,575,0.01
Saudi Arabia,MEA,6229600,575,0.01
Senegal,SSF,10971500,575,0.01
Serbia,ECS,2430000,575,0.02
Seychelles,SSF,10971500,575,0.01
Sierra Leone,SSF,10971500,575,0.01
Singapore,EAS,50952500,575,0
Sint Maarten (Dutch part),LCN,15637250,575,0
Slovak Republic,ECS,2799000,575,0.02
Slovenia,ECS,14664172,575,0
Solomon Islands,EAS,50952500,575,0
Somalia,SSF,10971500,575,0.01
South Africa,SSF,10338000,575,0.01
South Sudan,SSF,10971500,575,0.01
Spain,ECS,29707000,88000,0.3
Sri Lanka,SAS,45687000,575,0
St. Kitts and Nevis,LCN,15637250,575,0
St. Lucia,LCN,15637250,575,0
St. Martin (French part),LCN,15637250,575,0
St. Vincent and the Grenadines,LCN,15637250,575,0
Sudan,SSF,10971500,575,0.01
Suriname,LCN,15637250,575,0
Sweden,ECS,5637000,176000,3.12
Switzerland,ECS,5215000,84000,1.61
Syrian Arab Republic,MEA,9809000,575,0.01
Tajikistan,ECS,14664172,575,0
Tanzania,SSF,10971500,575,0.01
Thailand,EAS,19773000,575,0
Timor-Leste,EAS,50952500,575,0
Togo,SSF,10971500,575,0.01
Tonga,EAS,50952500,575,0
Trinidad and Tobago,LCN,15637250,575,0
Tunisia,MEA,6229600,575,0.01
Turkiye,ECS,18512000,3900,0.02
Turkmenistan,ECS,14664172,575,0
Turks and Caicos Islands,LCN,15637250,575,0
Tuvalu,EAS,50952500,575,0
Uganda,SSF,10971500,575,0.01
Ukraine,ECS,8450000,575,0.01
United Arab Emirates,MEA,3181000,575,0.02
United Kingdom,ECS,42403000,410000,0.97
United States,NAC,289037000,1740000,0.6
Uruguay,LCN,15637250,575,0
Uzbekistan,ECS,14664172,575,0
Vanuatu,EAS,50952500,575,0
"Venezuela, RB",LCN,4234000,575,0.01
Viet Nam,EAS,4785000,575,0.01
Virgin Islands (U.S.),LCN,15637250,575,0
West Bank and Gaza,MEA,6229600,575,0.01
"Yemen, Rep.",MEA,6229600,575,0.01
Zambia,SSF,10971500,575,0.01
Zimbabwe,SSF,10971500,575,0.01
