iso3c,last10_lnCO2,next10_lnCO2,delta,trend,likely_reduce_CO2
NLD,5.060265411356679,5.1024733,0.042207847615489236,sube,0
NOR,3.835821108435141,3.7699578,-0.06586332759712832,disminuye,1
NPL,2.453797549468958,2.355643,-0.09815451548763487,disminuye,1
NRU,-9.210340371976182,,,sube,0
NZL,3.5669957267158074,3.7731304,0.20613469015430974,sube,0
OMN,4.395035416261558,,,sube,0
PAK,5.290090199416058,6.1842856,0.8941954413004947,sube,0
PAN,2.3751347358695454,3.5109086,1.1357738677986675,sube,0
PER,3.9917612856751994,4.6262126,0.6344513112181112,sube,0
PHL,4.851482217624417,5.7144437,0.8629614659998506,sube,0
PLW,0.26395069223175543,,,sube,0
PNG,1.7918698549697798,2.1134655,0.3215956925918657,sube,0
POL,5.751992849201051,5.7398367,-0.012156156390992656,disminuye,1
PRI,2.496163450475167,3.2898908,0.7937273156686317,sube,0
PRT,3.8468173715329548,3.9021726,0.0553551939272503,sube,0
PRY,2.021747895545337,2.7359066,0.7141587054068115,sube,0
PYF,0.055849392649346984,0.18137005,0.12552065706569512,sube,0
QAT,4.730463669126079,,,sube,0
ROU,4.376000268978616,4.5538483,0.17784799762294679,sube,0
RUS,7.512518391783996,7.6129136,0.100395216767029,sube,0
RWA,0.2614095266966755,1.399234,1.1378245297761027,sube,0
SAU,6.372652136307596,,,sube,0
SDN,3.078837381153672,3.3886483,0.30981089040699716,sube,0
SEN,2.323338661928308,2.9804082,0.6570695297526004,sube,0
SGP,4.001632502156595,3.9573765,-0.04425602205405621,disminuye,1
SLB,-1.016705345961053,-0.26395676,0.7527485905613491,sube,0
SLE,0.062107499103749,1.5906789,1.5285714311788439,sube,0
SLV,1.9710968488209584,3.0622208,1.0911239630229137,sube,0
SOM,-0.17132288777066632,0.8437551,1.015078013770117,sube,0
STP,-1.8626244983346698,-2.7728112,-0.9101866760580304,disminuye,1
SUR,0.9366131905043595,1.496186,0.5595728274857528,sube,0
SVK,3.5681214300462534,3.644857,0.07673549973279936,sube,0
SVN,2.6704136825129563,2.8602583,0.189844658322615,sube,0
SWE,3.7034562670540074,3.7979398,0.09448351032026014,sube,0
SWZ,0.11129160814986543,0.56969315,0.4584015399862735,sube,0
SYC,0.04127331736784039,-1.8131199,-1.8543932056735044,disminuye,1
SYR,3.2831003853869447,4.8083777,1.5252773573803893,sube,0
TCA,-2.4364469192311153,-3.8989613,-1.4625143863871708,disminuye,1
TCD,0.6510884606518522,1.8554866,1.2043981707415803,sube,0
TGO,0.6961736176599158,1.2992833,0.6031096484075891,sube,0
THA,5.619482378371687,5.820762,0.20127977906849814,sube,0
TJK,1.9149672963870479,1.9394953,0.024528028701453097,sube,0
TKM,4.1784146792675205,,,sube,0
TLS,-0.37097089501900204,1.3194748,1.6904457113413287,sube,0
TON,-1.814736605339506,-1.6667697,0.14796686237380774,sube,0
TTO,3.489942249846049,3.5479064,0.05796414892714452,sube,0
TUN,3.4004865549461187,3.6688569,0.2683703042610346,sube,0
TUR,5.99700038612173,6.149863,0.1528623801441391,sube,0
TUV,-9.210340371976182,,,sube,0
TZA,2.701588152157503,3.9255702,1.223982097399992,sube,0
UGA,1.791867742484353,2.6539054,0.8620376492087622,sube,0
UKR,5.373322268776278,5.0788145,-0.2945077622455159,disminuye,1
URY,1.9768559250397661,2.5924067,0.6155508246855756,sube,0
USA,8.509761979558311,8.705172,0.19540960552469677,sube,0
UZB,4.797361177017097,5.2053213,0.4079601349335862,sube,0
VCT,-2.361326810123616,-1.1734493,1.1878775322458082,sube,0
VEN,4.843814544566328,5.005446,0.1616314126175098,sube,0
VIR,-8.517193191416737,-5.291093,3.2261003187971085,sube,0
VNM,5.538979504913529,5.8702035,0.3312239901121057,sube,0
VUT,-1.571721397177337,-1.2783043,0.29341705872213675,sube,0
WSM,-1.0164435371361766,-1.0265294,-0.01008589420690198,disminuye,1
YEM,2.639099169450721,4.283289,1.6441897862377557,sube,0
ZAF,6.120053923269595,5.9008536,-0.21920028938898017,disminuye,1
ZMB,1.8671998153208507,2.2768424,0.40964254040729875,sube,0
ZWE,2.428153066585977,2.193189,-0.2349641608700348,disminuye,1
